cache_key,postal_guess,country,coords,lat,lon,input_city,resolved_city,display_name,query_used,validated,low_confidence,timestamp,status,city_similarity,coords_cluster_count,flag_city_mismatch,flag_clustered_coords,flag_low_confidence,flag_not_validated,flag_failed,suspect_score
38003_es,38003,es,"28.4614231,-16.2529497",28.4614231,-16.2529497,SANTA CRUZ DE TENERIFE,Santa Cruz de Tenerife,"38003, Salud-La Salle, Santa Cruz de Tenerife, Canarias, España","structured: {'postalcode': '38003', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:55:22.109810,OK,1.0,1,False,False,False,False,False,0
3810193_pt,3810193,pt,"40.6311637,-8.6566916",40.6311637,-8.6566916,Aveiro,Aveiro,"3810-193, Glória e Vera Cruz, Aveiro, Portugal","free-text: 3810-193, Portugal (country=pt)",True,False,2026-01-14T18:55:29.081181,OK,1.0,1,False,False,False,False,False,0
39005_es,39005,es,"43.4708726,-3.7928146",43.4708726,-3.7928146,SANTANDER,Santander,"39005, Santander, Cantabria, España","structured: {'postalcode': '39005', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:55:38.100806,OK,1.0,1,False,False,False,False,False,0
39009_es,39009,es,"43.454515,-3.8169024",43.454515,-3.8169024,SANTANDER,Santander,"39009, Santander, Cantabria, España","structured: {'postalcode': '39009', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:55:39.110273,OK,1.0,1,False,False,False,False,False,0
39011_es,39011,es,"43.4498533,-3.8538597",43.4498533,-3.8538597,SANTANDER,Santander,"39011, Santander, Cantabria, España","structured: {'postalcode': '39011', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:55:40.111103,OK,1.0,1,False,False,False,False,False,0
40260_es,40260,es,"41.221326,-4.1785664",41.221326,-4.1785664,FUENTEPELAYO,Fuentepelayo,"40260, Fuentepelayo, Segovia, Castilla y León, España","structured: {'postalcode': '40260', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:55:45.105510,OK,1.0,1,False,False,False,False,False,0
41007_es,41007,es,"37.3927982,-5.9618279",37.3927982,-5.9618279,SEVILLA,Sevilla,"41007, Distrito San Pablo-Santa Justa, Sevilla, Andalucía, España","structured: {'postalcode': '41007', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:55:48.121462,OK,1.0,1,False,False,False,False,False,0
41012_es,41012,es,"37.3518563,-5.982631",37.3518563,-5.982631,SEVILLA,Sevilla,"41012, Distrito Bellavista-La Palmera, Sevilla, Andalucía, España","structured: {'postalcode': '41012', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:55:49.163251,OK,1.0,1,False,False,False,False,False,0
41013_es,41013,es,"37.3647959,-5.9739765",37.3647959,-5.9739765,SEVILLA,Sevilla,"41013, Distrito Sur, Sevilla, Andalucía, España","structured: {'postalcode': '41013', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:55:50.130838,OK,1.0,1,False,False,False,False,False,0
41015_es,41015,es,"37.4260749,-5.9815549",37.4260749,-5.9815549,SEVILLA,Sevilla,"41015, Distrito Norte, Sevilla, Andalucía, España","structured: {'postalcode': '41015', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:55:51.102020,OK,1.0,1,False,False,False,False,False,0
